X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20
-0.87779,-0.59958,0.73721,0.66376,0.01378,0.20011,1.26496,-0.54285,0.51702,-0.21108,-0.17466,0.97738,0.80086,0.88572,1.29405,0.00296,0.56526,-0.23554,0.34592,-0.13802,0.03669,0.57031,-0.88599,2.07520,-0.94785,-1.16070,1.14406,0.75211,0.60528,0.76518,-0.04066,-0.85876,0.03233,-0.64323,1.02900,-0.06460,-0.85698,-0.30479,0.34318,-0.59444,-0.72427,0.26329,0.30579,-0.52916,-0.54241,0.23610,-1.42211,-1.31506,-0.72951,-0.23516,0.25331,1.41328,0.88837,-0.15847,0.04339,-0.96893,0.02410,-0.35193,0.35573,-0.91858,0.50851,1.63533,-0.01771,0.50457,0.63258,-0.45993,0.14549,0.06606,0.16976,-0.78628,-0.00189,0.38898,1.51745,1.06193,2.09741,-0.76358,0.85660,0.18287,2.13647,-0.85330,-0.80233,-0.58377,-1.95305,-0.57127,-0.85017,0.12455,0.33598,1.94034,1.03501,-0.60320,-0.85180,0.45632,-1.28778,1.91738,1.21608,-0.43765,-1.66437,1.26391,-0.07533,1.33542,-1.02947,-1.67543,0.26101,0.54064,0.22783,1.03330,0.26375,-1.39631,-0.09953,1.37085,-1.57928,-0.95763,0.04221,-1.88434,0.28808,1.37303,1.53360,1.32615,-0.33842,-1.21249
1.94628,-0.04364,-0.65950,-1.64354,-1.82316,-1.42258,0.23113,0.51238,-1.58288,0.89131,-0.43911,0.10257,1.59667,0.96972,-0.31418,-0.92877,-2.13020,-0.64101,-0.20203,-0.98380,-0.16871,0.04909,-0.26463,-0.70529,0.15406,0.42613,-1.08171,1.37250,-0.13643,0.09826,0.64527,0.29723,0.92524,0.32078,-0.66595,0.44683,-1.17236,0.11766,-0.08589,-0.23580,-0.02763,-1.84972,-0.48878,0.06861,0.08955,-1.04393,1.28766,-0.79916,0.96423,0.43466,-0.68498,1.70912,-1.15659,0.94526,1.05923,-0.65758,1.46234,-0.31329,0.32298,0.27834,-0.14853,0.86081,0.88487,-1.62438,1.23721,-1.81619,0.98374,1.22340,-1.05568,-0.41125,-1.07666,-0.34455,-0.26715,0.87647,1.29874,1.36763,-0.55242,-0.19949,-1.79445,-0.85072,0.94081,1.69202,-1.10570,-0.63809,-0.07615,0.25245,-0.81952,0.44172,-0.41935,-0.05366,0.56630,-0.00854,-0.41759,-0.08746,-0.01130,-0.33976,-0.27715,1.50802,0.61343,-0.29051,0.12205,1.20217,0.76445,0.72627,-0.80297,-0.88965,-0.35886,0.79617,-0.68121,0.71005,-2.78963,1.46413,0.72822,-0.79961,1.74368,-0.45513,0.25721,0.08484,0.77210,-0.03040
-0.42072,-0.35042,-0.14626,1.57270,0.72945,1.00190,0.00606,-1.31757,-2.07474,-1.54453,0.40074,-0.00313,-0.24658,-0.30588,2.01565,-0.85902,0.79912,0.07404,-0.04829,1.15160,1.26554,-0.26908,0.80773,0.32269,0.00283,0.19839,-0.68339,-0.34763,-0.63115,1.06394,-0.11964,-1.26825,-0.78110,-3.16461,-0.54002,0.12115,-0.17377,1.95662,0.49895,0.50907,-1.54882,-0.34145,-0.42665,-0.80736,-0.87180,-1.83695,-1.25013,0.85947,-0.15199,-0.54147,-0.05678,1.10953,0.03756,0.55783,-0.78115,-0.60881,0.40378,1.83106,1.42119,0.63328,0.13869,1.49407,0.88606,-2.16411,-1.08433,0.33511,-1.93970,-0.87944,-0.65242,-0.25113,-0.29853,-0.42089,0.88257,-0.20239,-0.30731,-1.33685,1.00592,-0.64974,-1.18916,0.23293,-0.73203,-0.50831,0.31631,-0.37168,2.39362,-0.09745,0.61306,-1.99980,-0.81433,-1.10151,-0.90673,0.38319,1.03163,0.38170,-0.14518,-0.59725,1.03191,1.97932,0.17918,1.01894,-0.82435,-0.87032,1.10929,-0.74090,-0.06174,-1.07990,-0.94653,-0.22786,-0.21705,-0.89704,-0.00117,0.50481,1.16647,-0.84830,-0.56988,-1.42389,-0.14226,1.51914,0.70779,-0.13440
0.15646,0.03752,-0.39349,-0.00200,0.54123,-0.03211,0.38729,-0.77791,-0.61862,-0.74570,-0.52089,1.15051,0.70035,-1.01993,0.40720,-0.41744,-0.73249,-1.40119,1.00899,-1.35553,-0.09736,-0.97981,0.78327,-0.38525,-0.13028,-0.09383,0.29717,-0.02795,-0.07966,-0.48961,-1.52826,-1.08505,0.68642,-0.27199,-0.72101,-1.33037,-1.74314,-0.67996,0.80010,-0.58773,0.50365,-0.57847,0.70013,-0.37449,-1.30454,-0.27298,1.85512,1.73230,0.47963,-0.15530,0.24644,0.27066,-0.00640,0.45613,0.26979,-0.32490,-1.17539,-0.52347,0.81461,-0.04279,0.28832,-0.31271,-0.96890,-0.12943,-1.05335,-1.19659,1.16321,-0.38341,-0.69538,1.68939,0.74981,-0.50566,0.47916,-0.17199,-0.59920,0.46019,-0.31877,0.07783,0.95063,0.97538,-0.52256,0.53146,-1.00425,0.40646,0.10860,0.34986,-0.30552,2.15490,-0.85584,0.90971,-0.98263,0.46822,0.57896,0.08253,-0.40529,0.16481,0.22439,1.69878,-0.84806,-0.56668,-1.17303,-1.61735,-0.92348,-1.65151,0.77352,-0.34949,-0.47362,-0.17384,-0.40412,-0.73251,-0.64070,1.00997,-0.85531,-0.47592,-0.10954,-0.42050,0.21518,-0.28066,-1.00880,0.59224
-0.77058,1.02177,-0.18498,-0.35200,-0.29478,-0.00572,-0.47027,-0.79190,0.95321,-0.63496,-0.33992,0.36227,0.28838,-0.83497,0.73159,0.53069,0.08588,-0.35558,-0.40226,-0.20873,-1.15912,-0.06768,0.90502,0.84229,-0.36141,1.02224,1.88429,-0.35776,0.67445,-2.39838,-1.22685,0.15193,-1.06942,2.07235,0.62624,1.05457,-0.06762,-0.97473,-0.55286,0.23065,-0.53918,0.68828,0.77276,-0.01896,-1.89929,1.74273,-0.18853,2.60856,0.64621,-0.23151,0.38753,-2.03343,1.05634,2.63066,-2.01920,-0.29810,-0.06441,0.81285,2.07198,0.41323,2.13936,0.17377,0.54268,0.43183,1.15448,-0.48262,0.76159,-1.22557,-0.22425,-0.64519,0.05845,-0.44863,1.19383,-0.83578,-1.58337,-1.34484,0.97628,-0.94005,0.31782,-0.30719,0.80499,-0.20502,2.70334,1.85647,-0.38123,-0.46935,3.13659,-1.10933,0.00832,-0.01761,0.02778,-1.67949,0.50099,-0.97648,1.46444,-1.41174,0.02643,-2.29625,-2.15536,-0.86724,1.09066,0.16198,-0.91110,-2.80251,0.82246,1.36287,-0.20841,0.03298,-0.65596,0.45554,1.14208,0.41013,-0.80554,0.46727,0.24362,0.54517,-1.51594,1.77219,-0.29245,2.37686
-0.24951,-1.57988,0.94016,1.22570,-1.97178,1.02137,-0.87136,0.84637,-0.09031,0.02098,-0.14220,1.08154,-1.28779,0.67839,1.08547,0.71319,2.12782,-0.45239,0.99403,-0.11428,1.05935,-0.03592,-0.43534,1.27796,-0.46526,-1.35093,-0.51396,0.57917,1.39339,0.19924,1.22601,-1.33008,-0.49595,-0.25475,-0.13439,0.16786,0.64588,-0.42606,0.07977,-0.07141,-0.82838,-0.09196,-0.08326,-0.18845,-0.03876,0.07720,-0.40782,1.23939,-1.18211,-0.76581,2.67374,-1.06560,-1.31621,0.75636,-2.00713,-0.24920,2.23025,-1.60918,-1.86236,-1.65810,0.88949,1.19765,-0.42169,0.78329,1.32179,1.89346,-0.34228,-2.33779,-0.77724,-0.42781,-0.27143,-0.31670,1.18040,1.38733,-0.10552,1.07481,0.35108,0.06712,0.83410,0.08315,1.99656,-1.44582,-0.42063,-0.17140,0.41596,1.22611,-0.03149,-1.46370,0.92482,0.69809,-1.87603,-0.01833,-1.55352,-0.66074,-0.79978,0.82435,0.08114,-1.36828,0.93887,-1.49761,0.67153,0.57488,2.44908,0.12028,-0.61269,-1.66403,0.51966,-0.05967,1.00633,1.79387,-0.25735,0.22381,-0.49397,-0.99754,-1.11058,-0.88524,0.75013,2.38418,-0.89244,0.29099
0.22900,-0.90054,-0.42815,0.65662,-1.62838,-1.19536,-0.03121,0.93646,1.26682,-0.22606,1.09932,0.03408,-1.58296,0.05752,-0.67218,0.91940,-0.10783,-1.19510,-1.52109,-0.03029,-2.22855,-0.54926,0.21276,-1.11796,0.92827,1.14386,-1.00876,-0.33956,0.98560,0.07621,-1.35665,-0.08780,-0.91289,1.14162,0.63484,-0.23224,0.10202,-1.27432,-0.77882,1.54063,0.15520,0.94565,0.29283,1.28592,-2.07279,-0.19094,1.66618,0.93770,1.32137,-0.01906,-0.57800,-1.05492,-1.06018,0.83060,0.57365,-0.09095,0.56098,0.07951,0.97120,1.04033,-1.08492,0.28451,-1.57840,0.23854,0.54808,-1.44115,-0.51868,0.06288,0.31022,-0.27436,-1.13997,-0.17898,-1.63078,-0.16874,-0.36107,-0.13981,-0.54962,-1.46418,-0.45774,0.99623,1.22732,2.53839,1.68152,-1.24353,-0.47972,-0.04615,-0.09287,0.07584,2.52296,-1.09676,-0.67032,1.55926,-0.59441,0.43226,1.07591,0.50573,0.15262,0.84980,-0.86920,-0.50353,0.85138,1.65118,-0.95524,-0.55183,0.10831,0.75544,1.71056,-0.91747,-1.25064,0.66690,-0.19587,-0.95778,-0.00503,1.79644,-1.01798,-0.78821,-0.54351,0.09029,1.46313,0.91191
0.50965,0.53989,-1.67875,0.56407,0.21939,0.68273,1.04931,-0.11254,1.20620,-0.90151,-0.90015,0.36169,-0.40700,0.32940,1.99650,0.38343,0.11840,-0.78982,-1.72609,-0.08118,0.90948,-0.35294,0.39123,1.40006,1.31055,0.41356,0.16605,-1.56236,-0.68201,-0.22957,-0.84049,0.31281,1.90076,1.55106,0.24829,0.86712,-0.76095,1.44955,-1.55605,0.89471,0.59916,-0.73037,-0.14846,-1.15435,-1.16406,-1.61638,0.79021,1.17518,-2.17786,1.91007,-0.06325,0.24403,-1.43451,1.35610,0.26184,1.03979,1.28741,1.27285,-0.57879,-0.23703,-0.62840,0.95123,0.42410,1.16540,1.04860,-1.88583,1.31370,1.04073,-0.31160,0.37630,-0.14280,0.51045,-0.33142,0.56596,0.12093,-0.43336,0.18653,2.64038,-0.78169,-0.25950,-0.63656,-0.54660,0.84719,0.67235,-0.05445,0.98791,0.78929,-0.16345,-1.50177,0.77120,0.19662,0.00659,-0.44679,0.79486,0.41163,-0.20829,-1.19920,0.97876,0.65829,0.29366,-0.76159,0.61814,-0.71407,0.11788,1.51164,-0.94662,-0.95862,0.77099,-1.09509,1.05143,-0.52741,1.96605,0.78114,0.39492,-1.98020,3.06168,-0.41158,-0.59945,1.99183,-1.45679
-0.60762,0.59432,0.29853,0.04843,0.99442,-0.54203,-0.63059,0.01308,-0.65439,0.50246,-0.66842,0.17563,-0.13533,0.28232,-0.50955,-0.36484,0.00791,0.27253,0.00979,1.67338,-0.94216,-0.09275,-1.67703,0.33100,-1.05031,-0.26398,-0.37064,0.24042,-0.60258,-0.57376,1.33803,0.34974,-0.61583,-0.21702,1.74457,-0.15320,-0.72197,-0.66206,-0.58201,-0.62547,-1.18365,-1.09654,-0.76969,0.56565,-0.45245,-0.21019,1.29204,1.26063,-0.29168,-0.67160,-0.89888,0.64143,-0.17071,-0.39020,-0.74834,-0.75049,0.36921,-1.37950,1.00262,-0.59569,-0.16394,-1.44346,0.07872,-0.21823,-0.09612,1.55405,0.09738,-0.77251,-0.66428,0.63033,1.20978,0.16666,0.74401,0.70103,1.40180,-1.92843,0.65514,0.96245,-1.44461,-0.93559,-0.81302,-0.71672,-0.38876,0.19831,0.86620,1.04214,-0.84784,-0.86768,1.40812,0.59236,0.11141,0.43853,-0.01728,0.56757,-0.25111,0.29084,-1.47113,-0.77212,-0.64888,-0.37419,1.80221,-1.84790,0.37500,0.87212,-1.01842,0.91956,0.41648,-1.05265,0.01116,0.15581,-1.14404,-1.68758,-0.23253,-0.00832,0.57338,0.23916,0.30311,-0.52529,-1.54406,1.15576
0.77143,1.21854,0.49868,-2.10931,-0.12487,-1.01399,-0.24943,0.96436,0.27830,1.14555,0.38279,-1.22540,-2.58372,0.21567,-0.25839,-1.01636,-1.70103,-0.65647,-0.18500,0.64755,0.11915,1.58890,-1.11363,0.84704,0.04022,0.66829,-0.43444,1.03263,0.26774,-0.66583,-0.04045,-0.18621,0.45304,-1.14570,-0.04342,0.48083,-0.00613,1.33444,0.69044,-0.03345,0.31907,0.31496,0.46430,-1.84343,-0.37261,-1.50805,1.30022,-0.03162,-0.20259,0.92566,0.36253,-1.15500,-0.03733,-0.33770,-1.67577,-0.67602,-0.14412,-0.17809,-1.38140,1.25932,-0.11616,0.03121,0.49188,-0.67343,0.40243,-0.42321,-1.01650,0.64868,1.60692,0.76462,0.85250,-0.65909,-1.57537,1.61005,2.00392,1.51259,-0.33005,-1.12031,-1.16750,-1.78432,-0.09492,1.68185,-0.06484,0.25813,1.40486,-0.42200,2.03585,2.05998,-0.06938,-0.60382,0.71448,-0.34744,-1.12663,1.34908,1.25190,0.17900,-1.23488,-1.31237,0.15081,-0.50725,-0.66210,-0.20811,1.92129,1.26100,0.04516,-0.46891,-1.26981,-0.68554,0.12116,0.21290,1.78121,-1.73698,0.38320,0.72614,1.23992,1.52110,0.82074,-0.34707,-0.11601,-0.17389
