X1,X2,X3,X4,X5,X6,X7,Y1
-0.12133,0.06402,2.29265,-0.81414,0.98769,-0.12344,0.47812,0.34730
0.23010,0.35873,-0.85357,0.89857,-0.03202,-0.72287,-1.28851,-1.03607
-1.68604,-1.71138,-0.93267,0.86559,-0.37192,-0.48245,-1.35831,-0.43268
-1.35134,-0.23425,1.65989,-0.47206,1.32760,0.09035,0.75538,0.02353
0.32215,0.95172,-0.89751,-0.35243,0.30788,0.28640,0.96414,0.20749
1.16726,0.95172,-0.39658,0.49877,-0.71183,-0.39613,-1.08693,-0.52834
-0.09623,0.65345,-0.22081,-0.49404,0.30788,-1.19240,0.42658,-0.24873
1.46848,-0.52897,-0.12414,1.94011,-1.39164,-2.98181,-1.13455,-0.63872
1.61910,0.35873,0.79863,-0.47686,0.30788,0.42758,0.34373,-0.18250
0.74888,-1.41667,-0.45810,0.04803,-0.03202,1.83377,0.07821,-0.28552
-1.70277,1.24643,-0.38779,-0.41402,0.30788,1.48686,0.68818,1.23766
-1.57726,0.95172,-0.07141,-0.56779,1.32760,-0.12344,0.72733,0.31787
0.36398,0.06402,1.88839,-0.52291,0.98769,0.42435,0.37896,-0.58721
-1.22583,0.95172,-0.58992,0.67217,-0.71183,-0.43404,-1.21675,-1.22738
1.53542,1.24643,1.32594,-0.56010,1.66750,0.20007,0.66144,0.04561
1.68604,0.95172,0.06920,0.86615,-0.37192,-0.46228,-1.36549,-0.72702
-1.20072,1.54115,-1.32814,-0.43663,-0.03202,0.43726,0.93217,1.25237
0.45602,0.06402,-0.13293,0.95521,-0.37192,-0.82129,-1.28981,-0.99928
0.75725,-1.12195,1.51049,-0.41001,-0.03202,0.08067,0.81148,-0.69758
-0.78235,0.65345,-0.25597,-0.54786,0.64779,-0.58975,0.31046,-2.23547
0.34725,-0.52897,0.11314,-0.05922,-1.39164,-0.44050,1.05351,-1.15380
0.99991,1.24643,-1.19632,-0.81503,0.98769,-0.93505,0.24457,1.77481
1.70277,-1.71138,-1.06449,-0.78807,1.66750,0.42758,0.63534,0.88446
1.54379,1.54115,-1.01176,0.67894,-1.05173,-1.41023,1.33795,-0.49155
1.21746,-1.12195,0.06041,1.26217,-0.37192,-0.61315,-1.63688,-0.90362
-0.62337,0.06402,0.78106,-0.47686,0.30788,0.42758,0.34373,-0.03533
0.25521,0.06402,-0.41416,-0.27847,-1.39164,0.61717,-0.53371,0.07504
-0.82419,0.95172,1.20290,-0.38981,-0.71183,0.28801,0.14671,-0.28552
-0.88276,-1.12195,-0.44052,-0.72487,-1.05173,0.37756,-0.22971,-0.37382
-0.11296,0.95172,-0.70417,-0.52548,0.30788,1.08348,0.74429,0.83295
-1.48522,-0.23425,-0.93267,-0.50186,0.30788,0.53246,0.88585,1.40690
0.84093,-1.12195,-0.65144,1.58340,-1.39164,-1.16417,2.14689,-0.97720
1.50195,-1.12195,-1.55664,-0.71273,-1.39164,0.16699,-0.10836,1.27445
0.82419,-0.23425,-0.13293,-0.63031,0.30788,1.04879,0.66013,1.25237
-0.77399,-1.71138,1.13259,-0.74572,1.32760,1.01006,0.52574,1.12728
0.33888,0.65345,0.35043,-0.02286,-1.39164,-0.55829,1.03851,-1.09493
-1.10032,1.24643,-0.47567,0.21915,-1.05173,-1.37070,0.98240,-0.62400
0.51460,0.95172,-0.04505,-0.55000,0.30788,0.83419,0.59294,0.15598
-0.48949,1.24643,-0.11535,2.13925,-1.39164,-2.91242,-1.39158,0.52390
-1.59399,0.35873,-1.55664,-0.62740,0.64779,0.67848,0.73189,2.36348
-1.17562,-0.52897,-1.46876,-0.70626,0.64779,-0.26785,0.49117,0.93597
1.12542,-0.52897,-0.41416,-0.26481,-0.71183,0.37756,1.05351,-0.07213
-1.66930,0.95172,0.22739,-0.63168,0.64779,0.91890,0.58185,0.64163
-0.10459,1.24643,-0.22081,2.13235,-1.39164,-2.85595,-1.42094,-0.63872
-1.56889,-1.71138,-1.42481,-0.84128,0.98769,-0.10569,0.49965,0.71522
-0.25521,-1.12195,-0.33506,2.76847,-1.39164,-1.64258,-2.49801,-1.38191
1.34297,-1.12195,-0.23839,0.59055,-0.71183,-0.35418,-1.17761,-1.25682
0.81582,0.95172,0.20103,0.43012,-0.37192,-0.22671,-1.08823,-0.63136
-0.07112,-0.23425,1.43140,-0.73480,0.98769,-0.22187,0.56097,0.08240
-0.51460,-0.82368,-1.37208,-0.50186,0.30788,0.53246,0.88585,0.55333
0.48949,-1.12195,-0.17687,-0.21256,-0.03202,0.79304,0.08343,0.00882
-0.81582,1.54115,-1.20511,0.84365,-0.37192,-0.48729,-1.33874,-0.70494
-0.03765,-0.82368,1.80929,-0.34999,-0.37192,0.52923,0.24587,-0.47683
-0.08786,-0.52897,0.44710,-0.29826,-0.71183,0.96569,0.89825,-0.10156
1.58563,-1.71138,1.70383,-0.13109,-1.05173,0.23799,1.12658,-0.44740
0.27194,1.24643,0.03405,-0.19528,-1.39164,-0.45905,0.93348,-0.60928
